,Unnamed: 0,dR/dT,models,experiment,var
120,1,0.1060004126157738,canam4,amip,RH
121,2,0.1830437831457203,canesm5,amip,RH
122,3,0.2094092000343058,e3sm,amip,RH
123,4,0.1731517575041217,gfdl,amip,RH
124,5,0.1281104296773015,hg2,amip,RH
125,6,0.135503102239013,hg3,amip,RH
126,7,0.1197761220468367,ipsl,amip,RH
127,8,0.2502279526174464,mies2l,amip,RH
128,9,0.3602458975218334,miesm,amip,RH
129,10,0.2349914995189359,mi5,amip,RH
130,11,0.1557313333430292,mi6,amip,RH
131,12,0.3292910041326397,mpi,amip,RH
132,13,0.2107047129948119,mrcgcm,amip,RH
133,14,0.1267150485784208,mresm,amip,RH
134,15,0.132386382050446,ukesm,amip,RH
136,0,0.0011862874141477,ccsm4,amip,Omega
137,1,0.0159820541846945,canam4,amip,Omega
138,2,0.0210990706376289,canesm5,amip,Omega
139,3,-0.0218442401940653,e3sm,amip,Omega
140,4,0.0004570883401215,gfdl,amip,Omega
141,5,0.0410711371518298,hg2,amip,Omega
142,6,-0.0017782381763424,hg3,amip,Omega
143,7,-0.0339544555055557,ipsl,amip,Omega
144,8,0.0230525133978536,mies2l,amip,Omega
145,9,0.0128378768186431,miesm,amip,Omega
146,10,0.0143244403242225,mi5,amip,Omega
147,11,0.0344594381194626,mi6,amip,Omega
148,12,0.0159442122448317,mpi,amip,Omega
149,13,0.0532968290863586,mrcgcm,amip,Omega
150,14,0.0137078800968579,mresm,amip,Omega
151,15,-0.0110641878579318,ukesm,amip,Omega
153,0,0.0296090285514133,ccsm4,amip,WS
154,1,0.0438773795722352,canam4,amip,WS
155,2,0.062018105437404,canesm5,amip,WS
156,3,-0.0599497419301964,e3sm,amip,WS
157,4,0.0079750125359903,gfdl,amip,WS
158,5,0.0063620576063641,hg2,amip,WS
159,6,0.0092476797938608,hg3,amip,WS
160,7,0.0528738487119452,ipsl,amip,WS
161,8,-0.0346212152728023,mies2l,amip,WS
162,9,-0.0919947296818168,miesm,amip,WS
163,10,-0.0495364260973111,mi5,amip,WS
164,11,0.0015131741141571,mi6,amip,WS
165,12,0.0688940547860808,mpi,amip,WS
166,13,0.0130653345666011,mrcgcm,amip,WS
167,14,-0.0630309993097902,mresm,amip,WS
168,15,0.0153575270907806,ukesm,amip,WS
170,0,0.2465406534842458,ccsm4,hist,SST
171,1,0.3736863587441563,canam4,hist,SST
172,2,0.7385862979993145,canesm5,hist,SST
173,3,0.0779488324773843,e3sm,hist,SST
174,4,0.2042795306221337,gfdl,hist,SST
175,5,0.1295379088538222,hg2,hist,SST
176,6,0.0688623017872293,hg3,hist,SST
177,7,0.2048676447309827,ipsl,hist,SST
178,8,-0.0174892652558228,mies2l,hist,SST
179,9,0.7003449862378974,miesm,hist,SST
180,10,-0.1000076882334,mi5,hist,SST
181,11,0.1567560074130244,mi6,hist,SST
182,12,-0.1173689710442842,mpi,hist,SST
183,13,0.0882814112573155,mrcgcm,hist,SST
184,14,0.0283895672002095,mresm,hist,SST
185,15,0.0753428318564385,ukesm,hist,SST
187,0,-0.1811501660554609,ccsm4,hist,EIS
188,1,-0.1044030380330577,canam4,hist,EIS
189,2,-0.1708325295769562,canesm5,hist,EIS
190,3,-0.2404001991579306,e3sm,hist,EIS
191,4,-0.3590176325188637,gfdl,hist,EIS
192,5,-0.2790120129714443,hg2,hist,EIS
193,6,-0.2377137682074545,hg3,hist,EIS
194,7,-0.3802136623347172,ipsl,hist,EIS
195,8,-0.1122700257113284,mies2l,hist,EIS
196,9,-0.1541882558435395,miesm,hist,EIS
197,10,-0.1317132706850995,mi5,hist,EIS
198,11,-0.2699287720581976,mi6,hist,EIS
199,12,-0.3050231753423957,mpi,hist,EIS
200,13,-0.3568432839419296,mrcgcm,hist,EIS
201,14,-0.4482281859766261,mresm,hist,EIS
202,15,-0.2399867054249214,ukesm,hist,EIS
204,0,0.0016822362267142,ccsm4,hist,Tadv
205,1,-0.0011446088798948,canam4,hist,Tadv
206,2,0.0090287080077862,canesm5,hist,Tadv
207,3,0.0053988389261927,e3sm,hist,Tadv
208,4,0.0058932917749661,gfdl,hist,Tadv
209,5,0.002813132858374,hg2,hist,Tadv
210,6,-0.0181484333863782,hg3,hist,Tadv
211,7,0.0011700115838734,ipsl,hist,Tadv
212,8,0.0071434345875162,mies2l,hist,Tadv
213,9,0.002610690970194,miesm,hist,Tadv
214,10,0.0137920257936201,mi5,hist,Tadv
215,11,0.01489962861008,mi6,hist,Tadv
216,12,0.009850172228343,mpi,hist,Tadv
217,13,-0.0071447058858569,mrcgcm,hist,Tadv
218,14,-0.0043882939424236,mresm,hist,Tadv
219,15,-0.0181785912260146,ukesm,hist,Tadv
221,0,0.1866782092980774,ccsm4,hist,RH
222,1,0.0756829784580021,canam4,hist,RH
223,2,0.114041170689432,canesm5,hist,RH
224,3,0.1296478157523071,e3sm,hist,RH
225,4,0.1277898648964302,gfdl,hist,RH
226,5,0.0908003890633339,hg2,hist,RH
227,6,0.0877128966235538,hg3,hist,RH
228,7,0.0905256993331673,ipsl,hist,RH
229,8,0.1786803778868201,mies2l,hist,RH
230,9,0.1803320440211851,miesm,hist,RH
231,10,0.1626922064276558,mi5,hist,RH
232,11,0.1065692833521463,mi6,hist,RH
233,12,0.2455703940097137,mpi,hist,RH
234,13,0.1559942676005198,mrcgcm,hist,RH
235,14,0.0935558435198519,mresm,hist,RH
236,15,0.0859258015037649,ukesm,hist,RH
238,0,0.0019650941739335,ccsm4,hist,Omega
239,1,0.0055400124860804,canam4,hist,Omega
240,2,0.0162009440495308,canesm5,hist,Omega
241,3,-0.0041544919323069,e3sm,hist,Omega
242,4,0.0011945560654977,gfdl,hist,Omega
243,5,7.666270253222907e-05,hg2,hist,Omega
244,6,-0.0080092958117081,hg3,hist,Omega
245,7,0.0002548065256054,ipsl,hist,Omega
246,8,-0.0064752351730727,mies2l,hist,Omega
247,9,0.017577403616562,miesm,hist,Omega
248,10,-0.0064027299001207,mi5,hist,Omega
249,11,0.0026501015140351,mi6,hist,Omega
250,12,0.0001281038385217,mpi,hist,Omega
251,13,-0.0031752053969594,mrcgcm,hist,Omega
252,14,0.0007865912472941,mresm,hist,Omega
253,15,-0.0081919062891865,ukesm,hist,Omega
255,0,0.0108993710780117,ccsm4,hist,WS
256,1,0.0135872833412014,canam4,hist,WS
257,2,0.0181289579582716,canesm5,hist,WS
258,3,-0.0043602916588866,e3sm,hist,WS
259,4,-0.0105922235370573,gfdl,hist,WS
260,5,-0.0220813677071864,hg2,hist,WS
261,6,-0.0250467878148989,hg3,hist,WS
262,7,-0.0307873556606919,ipsl,hist,WS
263,8,-0.0122241822835281,mies2l,hist,WS
264,9,-0.0148807615168923,miesm,hist,WS
265,10,-0.0050249753354845,mi5,hist,WS
266,11,-0.0075820763336573,mi6,hist,WS
267,12,0.0240733460297331,mpi,hist,WS
268,13,0.0056896958507096,mrcgcm,hist,WS
269,14,-0.0063414725098682,mresm,hist,WS
270,15,-0.0154155324934352,ukesm,hist,WS
272,0,0.2759402029454817,ccsm4,fast,SST
273,1,0.3822603867115581,canam4,fast,SST
274,2,0.7781352884401613,canesm5,fast,SST
275,3,0.1053676654742744,e3sm,fast,SST
276,4,0.2420719205766602,gfdl,fast,SST
277,5,0.1505393290156256,hg2,fast,SST
278,6,0.0882637753125192,hg3,fast,SST
279,7,0.2296259885555663,ipsl,fast,SST
280,8,-0.0116114899179379,mies2l,fast,SST
281,9,0.72213784956645,miesm,fast,SST
282,10,-0.1038127907772085,mi5,fast,SST
283,11,0.1766351245191542,mi6,fast,SST
284,12,-0.1294566148681222,mpi,fast,SST
285,13,0.1205056297412318,mrcgcm,fast,SST
286,14,0.0547463704804154,mresm,fast,SST
287,15,0.0983752135108179,ukesm,fast,SST
289,0,-0.0732660803431955,ccsm4,fast,EIS
290,1,-0.0567195024113853,canam4,fast,EIS
291,2,-0.0919426731081479,canesm5,fast,EIS
292,3,-0.1325322856819266,e3sm,fast,EIS
293,4,-0.1977026763098863,gfdl,fast,EIS
294,5,-0.147379715780301,hg2,fast,EIS
295,6,-0.1296551722288068,hg3,fast,EIS
296,7,-0.2657900948977144,ipsl,fast,EIS
297,8,-0.0688604923545068,mies2l,fast,EIS
298,9,-0.0696029144655947,miesm,fast,EIS
299,10,-0.0693291027052089,mi5,fast,EIS
300,11,-0.1528269383407422,mi6,fast,EIS
301,12,-0.1463607806266177,mpi,fast,EIS
302,13,-0.1678229124471416,mrcgcm,fast,EIS
303,14,-0.2677496590317865,mresm,fast,EIS
304,15,-0.1301558679444766,ukesm,fast,EIS
306,0,-0.0026744595372791,ccsm4,fast,Tadv
307,1,-0.0050765155166527,canam4,fast,Tadv
308,2,0.0031357698304989,canesm5,fast,Tadv
309,3,-0.0028748405434363,e3sm,fast,Tadv
310,4,-0.0065698683994143,gfdl,fast,Tadv
311,5,-0.0047800142076067,hg2,fast,Tadv
312,6,-0.0138934359111504,hg3,fast,Tadv
313,7,-0.0085379551251084,ipsl,fast,Tadv
314,8,-0.0028893879974459,mies2l,fast,Tadv
315,9,-0.0077501392485814,miesm,fast,Tadv
316,10,-0.0093116937284811,mi5,fast,Tadv
317,11,-0.0057223792829728,mi6,fast,Tadv
318,12,-0.001235298361376,mpi,fast,Tadv
319,13,-0.001444239735765,mrcgcm,fast,Tadv
320,14,-0.0091114688214558,mresm,fast,Tadv
321,15,-0.0152753349319131,ukesm,fast,Tadv
323,0,0.0660530805864665,ccsm4,fast,RH
324,1,0.0244094753912181,canam4,fast,RH
325,2,0.0300981909033309,canesm5,fast,RH
326,3,0.0401142553074549,e3sm,fast,RH
327,4,0.048136508543374,gfdl,fast,RH
328,5,0.0251347345464511,hg2,fast,RH
329,6,0.0120178848263181,hg3,fast,RH
330,7,0.0236621390643578,ipsl,fast,RH
331,8,0.0617040579855544,mies2l,fast,RH
332,9,0.0371322344969762,miesm,fast,RH
333,10,0.0481166943029784,mi5,fast,RH
334,11,0.0408771617335071,mi6,fast,RH
335,12,0.0646596164228203,mpi,fast,RH
336,13,0.0465316564318202,mrcgcm,fast,RH
337,14,0.0215479516037762,mresm,fast,RH
338,15,0.0116574793394702,ukesm,fast,RH
340,0,-0.004952641581464,ccsm4,fast,Omega
341,1,0.0008624690746947,canam4,fast,Omega
342,2,0.0005841624316501,canesm5,fast,Omega
343,3,-0.0051679340910141,e3sm,fast,Omega
