,Unnamed: 0,dR/dT,models,experiment,var
120,1,0.0352095337907342,canam4,amip,RH
121,2,0.0977765164895118,canesm5,amip,RH
122,3,0.2733394327062903,e3sm,amip,RH
123,4,0.1620407495164729,gfdl,amip,RH
124,5,0.1598577263553864,hg2,amip,RH
125,6,0.1502623258603651,hg3,amip,RH
126,7,0.068473727071223,ipsl,amip,RH
127,8,0.2933906267961505,mies2l,amip,RH
128,9,0.2611059558975283,miesm,amip,RH
129,10,0.4108556691540456,mi5,amip,RH
130,11,0.2500216508937766,mi6,amip,RH
131,12,0.2941895914591386,mpi,amip,RH
132,13,0.2008844254830615,mrcgcm,amip,RH
133,14,0.0521498162147468,mresm,amip,RH
134,15,0.1852291832382681,ukesm,amip,RH
136,0,0.0056443224913555,ccsm4,amip,Omega
137,1,0.0141596520404922,canam4,amip,Omega
138,2,0.0185617915575102,canesm5,amip,Omega
139,3,-0.0524373076331961,e3sm,amip,Omega
140,4,-4.195461310778591e-06,gfdl,amip,Omega
141,5,0.0653880216636397,hg2,amip,Omega
142,6,-0.0069226000058643,hg3,amip,Omega
143,7,-0.0121946737584483,ipsl,amip,Omega
144,8,0.0050280964023803,mies2l,amip,Omega
145,9,-0.0181938658199258,miesm,amip,Omega
146,10,0.0096561121157087,mi5,amip,Omega
147,11,0.0207560098682868,mi6,amip,Omega
148,12,0.0251076584555383,mpi,amip,Omega
149,13,0.0399548509458976,mrcgcm,amip,Omega
150,14,0.0142412149342397,mresm,amip,Omega
151,15,-0.0186059094198405,ukesm,amip,Omega
153,0,0.0481620894625331,ccsm4,amip,WS
154,1,0.0773985761823836,canam4,amip,WS
155,2,0.0202329096366413,canesm5,amip,WS
156,3,0.0367010770090499,e3sm,amip,WS
157,4,-0.014909862941558,gfdl,amip,WS
158,5,0.0017891427869216,hg2,amip,WS
159,6,0.0449929994150933,hg3,amip,WS
160,7,0.1011526661973705,ipsl,amip,WS
161,8,0.0192600658666437,mies2l,amip,WS
162,9,-0.1631854761956195,miesm,amip,WS
163,10,-0.1048406223220558,mi5,amip,WS
164,11,-0.0458710902159554,mi6,amip,WS
165,12,0.0436655887968508,mpi,amip,WS
166,13,0.0030528048641537,mrcgcm,amip,WS
167,14,-0.0468396115088553,mresm,amip,WS
168,15,-0.0051667333136804,ukesm,amip,WS
170,0,0.2351978486240576,ccsm4,hist,SST
171,1,0.3740331181492897,canam4,hist,SST
172,2,0.7888662474538183,canesm5,hist,SST
173,3,0.1066037917244204,e3sm,hist,SST
174,4,0.1730700245698087,gfdl,hist,SST
175,5,0.0511948751171114,hg2,hist,SST
176,6,0.1601793852485925,hg3,hist,SST
177,7,0.1760155244398944,ipsl,hist,SST
178,8,0.0354379791473892,mies2l,hist,SST
179,9,0.5098956318360258,miesm,hist,SST
180,10,-0.0368693992502249,mi5,hist,SST
181,11,0.0181550020905543,mi6,hist,SST
182,12,-0.1199700946131157,mpi,hist,SST
183,13,0.1763137175123869,mrcgcm,hist,SST
184,14,0.0056915882043931,mresm,hist,SST
185,15,0.0791277387938671,ukesm,hist,SST
187,0,-0.1623432113293786,ccsm4,hist,EIS
188,1,-0.0358995103878529,canam4,hist,EIS
189,2,-0.2644605918329712,canesm5,hist,EIS
190,3,-0.2439626560795198,e3sm,hist,EIS
191,4,-0.4275658313654864,gfdl,hist,EIS
192,5,-0.4484925830946707,hg2,hist,EIS
193,6,-0.1929117965383493,hg3,hist,EIS
194,7,-0.478118624848868,ipsl,hist,EIS
195,8,-0.1854039326769214,mies2l,hist,EIS
196,9,-0.0832249357168014,miesm,hist,EIS
197,10,-0.2255443941384086,mi5,hist,EIS
198,11,-0.2739612324198264,mi6,hist,EIS
199,12,-0.5316287287952696,mpi,hist,EIS
200,13,-0.4758047819580013,mrcgcm,hist,EIS
201,14,-0.2268488649962906,mresm,hist,EIS
202,15,-0.12139816523483,ukesm,hist,EIS
204,0,0.0307838904793979,ccsm4,hist,Tadv
205,1,-0.0030209705833408,canam4,hist,Tadv
206,2,0.0030973240754186,canesm5,hist,Tadv
207,3,0.0188251283393898,e3sm,hist,Tadv
208,4,0.0241833310960604,gfdl,hist,Tadv
