,Unnamed: 0,dR/dT,models,experiment,var
120,1,0.0327858015751685,canam4,amip,RH
121,2,0.0475061182647764,canesm5,amip,RH
122,3,0.1178522758565023,e3sm,amip,RH
123,4,0.083525938983237,gfdl,amip,RH
124,5,0.1057981893892708,hg2,amip,RH
125,6,0.0966726389951743,hg3,amip,RH
126,7,0.085854065358074,ipsl,amip,RH
127,8,0.138108134336505,mies2l,amip,RH
128,9,0.0471121533359975,miesm,amip,RH
129,10,0.158826289030738,mi5,amip,RH
130,11,0.1674840856444775,mi6,amip,RH
131,12,0.1225427131254633,mpi,amip,RH
132,13,0.1180069378211806,mrcgcm,amip,RH
133,14,0.0778848282212018,mresm,amip,RH
134,15,0.1452817353955126,ukesm,amip,RH
136,0,0.0238264471449309,ccsm4,amip,Omega
137,1,0.0311733822709261,canam4,amip,Omega
138,2,0.034861591962944,canesm5,amip,Omega
139,3,0.0311228309696431,e3sm,amip,Omega
140,4,0.0401201528915822,gfdl,amip,Omega
141,5,0.0401600485659864,hg2,amip,Omega
142,6,0.0435900472967217,hg3,amip,Omega
143,7,0.0367029221942566,ipsl,amip,Omega
144,8,0.0343762558255179,mies2l,amip,Omega
145,9,0.0409612958002367,miesm,amip,Omega
146,10,0.0553318881758406,mi5,amip,Omega
147,11,0.0292375918555768,mi6,amip,Omega
148,12,0.0354042412343024,mpi,amip,Omega
149,13,0.0159551182860524,mrcgcm,amip,Omega
150,14,0.0248244466929673,mresm,amip,Omega
151,15,0.0201686863726359,ukesm,amip,Omega
153,0,-0.1264478729657909,ccsm4,amip,WS
154,1,-0.0174322397957922,canam4,amip,WS
155,2,0.0011989944613557,canesm5,amip,WS
156,3,-0.0021398961370198,e3sm,amip,WS
157,4,-0.0087989305412603,gfdl,amip,WS
158,5,-0.0467919832154564,hg2,amip,WS
159,6,-0.0377165861275991,hg3,amip,WS
160,7,-0.0219392899752476,ipsl,amip,WS
161,8,0.0190765967784452,mies2l,amip,WS
162,9,-0.0295031557304958,miesm,amip,WS
163,10,-0.0563945529502187,mi5,amip,WS
164,11,-0.0480714246667242,mi6,amip,WS
165,12,-0.0272178392534446,mpi,amip,WS
166,13,-0.0261008761441892,mrcgcm,amip,WS
167,14,-0.0126965048872106,mresm,amip,WS
168,15,-0.0409139437693488,ukesm,amip,WS
170,0,0.288010577859871,ccsm4,hist,SST
171,1,0.3581183088886655,canam4,hist,SST
172,2,0.2440322970057999,canesm5,hist,SST
173,3,0.2287946003332186,e3sm,hist,SST
174,4,0.1781334088544744,gfdl,hist,SST
175,5,0.2228048845771198,hg2,hist,SST
176,6,0.3447016577922299,hg3,hist,SST
177,7,0.1531140688254869,ipsl,hist,SST
178,8,0.2121230210235099,mies2l,hist,SST
179,9,0.2121948373017834,miesm,hist,SST
180,10,0.2864466450758078,mi5,hist,SST
181,11,0.1106953086580943,mi6,hist,SST
182,12,0.1246445353753667,mpi,hist,SST
183,13,0.0649487384577563,mrcgcm,hist,SST
184,14,0.2323742953740938,mresm,hist,SST
185,15,0.3584905169562706,ukesm,hist,SST
187,0,-0.2510452901926873,ccsm4,hist,EIS
188,1,-0.1016110275408858,canam4,hist,EIS
189,2,-0.4162107642416215,canesm5,hist,EIS
190,3,-0.2405601909603735,e3sm,hist,EIS
191,4,-0.341871999538614,gfdl,hist,EIS
192,5,-0.4631740323400406,hg2,hist,EIS
193,6,-0.1390319581886538,hg3,hist,EIS
194,7,-0.4393904271111729,ipsl,hist,EIS
195,8,-0.2260184233793017,mies2l,hist,EIS
196,9,-0.2073666873811216,miesm,hist,EIS
197,10,-0.252636648644516,mi5,hist,EIS
198,11,-0.2265274565398414,mi6,hist,EIS
199,12,-0.455188134270496,mpi,hist,EIS
200,13,-0.3347307375684704,mrcgcm,hist,EIS
201,14,-0.1782719456663712,mresm,hist,EIS
202,15,-0.1372208807572935,ukesm,hist,EIS
204,0,0.0193399649265432,ccsm4,hist,Tadv
205,1,-0.0548146776166722,canam4,hist,Tadv
206,2,-0.043411435188298,canesm5,hist,Tadv
207,3,0.0284237086865526,e3sm,hist,Tadv
208,4,0.0245861077001728,gfdl,hist,Tadv
209,5,0.0150931079318831,hg2,hist,Tadv
210,6,-0.007949404176034,hg3,hist,Tadv
211,7,-0.0228085495043096,ipsl,hist,Tadv
212,8,-0.0056588316762399,mies2l,hist,Tadv
213,9,-0.0148763262406274,miesm,hist,Tadv
214,10,0.0035428540631342,mi5,hist,Tadv
215,11,-0.0247863770835579,mi6,hist,Tadv
216,12,0.0135207522546423,mpi,hist,Tadv
217,13,0.0308131129917907,mrcgcm,hist,Tadv
218,14,0.0199780738888089,mresm,hist,Tadv
219,15,0.022237927861497,ukesm,hist,Tadv
221,0,0.0692095226645367,ccsm4,hist,RH
222,1,0.0301219822128522,canam4,hist,RH
223,2,0.0145762646451634,canesm5,hist,RH
224,3,0.0414555960289556,e3sm,hist,RH
225,4,0.0490246081333606,gfdl,hist,RH
226,5,0.1083260920945556,hg2,hist,RH
227,6,0.041299451237327,hg3,hist,RH
228,7,0.0901686235111058,ipsl,hist,RH
229,8,0.1047643674300391,mies2l,hist,RH
230,9,0.0460342563825118,miesm,hist,RH
231,10,0.0633729100674241,mi5,hist,RH
232,11,0.1104949687837753,mi6,hist,RH
233,12,0.0852023942781761,mpi,hist,RH
234,13,0.0713035068362572,mrcgcm,hist,RH
235,14,0.0124629267882185,mresm,hist,RH
236,15,0.105935416456382,ukesm,hist,RH
238,0,0.0097303886868394,ccsm4,hist,Omega
239,1,0.007817850226064,canam4,hist,Omega
240,2,0.0093611796209187,canesm5,hist,Omega
241,3,0.0132771165953484,e3sm,hist,Omega
242,4,0.007404711068557,gfdl,hist,Omega
243,5,0.0002424011266481,hg2,hist,Omega
244,6,0.0058045976684019,hg3,hist,Omega
245,7,0.0028558555694967,ipsl,hist,Omega
246,8,-0.0066263279190655,mies2l,hist,Omega
247,9,0.0168900015118101,miesm,hist,Omega
248,10,-0.0050428904241889,mi5,hist,Omega
249,11,0.0049907374029574,mi6,hist,Omega
250,12,0.0146406126593239,mpi,hist,Omega
251,13,0.0129014695799468,mrcgcm,hist,Omega
252,14,0.0031184782175961,mresm,hist,Omega
253,15,0.0053403269579076,ukesm,hist,Omega
255,0,-0.0207723014270747,ccsm4,hist,WS
256,1,-0.0052976992896635,canam4,hist,WS
257,2,0.013687826116707,canesm5,hist,WS
258,3,0.0342209158518458,e3sm,hist,WS
259,4,0.0099302667604192,gfdl,hist,WS
260,5,-0.0286136954791223,hg2,hist,WS
261,6,0.0136724662101099,hg3,hist,WS
262,7,-0.0030794199910549,ipsl,hist,WS
263,8,-0.0085479086475786,mies2l,hist,WS
264,9,-0.02680169513643,miesm,hist,WS
265,10,0.0161027999502675,mi5,hist,WS
266,11,0.0123303417466188,mi6,hist,WS
267,12,-0.0280348820805629,mpi,hist,WS
268,13,-0.0223943195665999,mrcgcm,hist,WS
269,14,0.0013032327958064,mresm,hist,WS
270,15,0.0023894803902934,ukesm,hist,WS
272,0,0.3192009910509388,ccsm4,fast,SST
273,1,0.1731250330393897,canam4,fast,SST
274,2,0.2276719076837744,canesm5,fast,SST
275,3,0.3856724092580041,e3sm,fast,SST
276,4,0.2074073587121229,gfdl,fast,SST
277,5,0.2811328297750033,hg2,fast,SST
278,6,0.3319790675153221,hg3,fast,SST
279,7,0.2406417939929041,ipsl,fast,SST
280,8,0.153914360346523,mies2l,fast,SST
281,9,0.1390015372456413,miesm,fast,SST
282,10,0.1937798483457543,mi5,fast,SST
283,11,0.2802525987363635,mi6,fast,SST
284,12,0.2033126962055785,mpi,fast,SST
285,13,0.1454282532471963,mrcgcm,fast,SST
286,14,0.1809489331591318,mresm,fast,SST
287,15,0.2765444670410326,ukesm,fast,SST
289,0,-0.1872971238718261,ccsm4,fast,EIS
290,1,-0.0270202535417773,canam4,fast,EIS
291,2,-0.127381988958934,canesm5,fast,EIS
292,3,-0.0724443846515994,e3sm,fast,EIS
293,4,-0.1497356357938931,gfdl,fast,EIS
294,5,-0.1488355856693964,hg2,fast,EIS
295,6,-0.1259975800471603,hg3,fast,EIS
296,7,-0.1090923646547097,ipsl,fast,EIS
297,8,-0.1418409322590534,mies2l,fast,EIS
298,9,-0.1441033598660316,miesm,fast,EIS
299,10,-0.1077315443948131,mi5,fast,EIS
300,11,-0.1755496458274517,mi6,fast,EIS
301,12,-0.2616005974092721,mpi,fast,EIS
302,13,-0.1128517329803377,mrcgcm,fast,EIS
303,14,-0.0903130505960182,mresm,fast,EIS
304,15,-0.1452064358242308,ukesm,fast,EIS
306,0,-0.0119912888345247,ccsm4,fast,Tadv
307,1,-0.033880845011783,canam4,fast,Tadv
308,2,-0.0179501768942723,canesm5,fast,Tadv
309,3,-0.0235734183916816,e3sm,fast,Tadv
310,4,-0.0032628351016406,gfdl,fast,Tadv
311,5,-0.0076984386280694,hg2,fast,Tadv
312,6,0.0138672259984621,hg3,fast,Tadv
313,7,-0.0094877848250378,ipsl,fast,Tadv
314,8,0.00640708810137,mies2l,fast,Tadv
315,9,-0.0046563819150529,miesm,fast,Tadv
316,10,-0.0026003927023788,mi5,fast,Tadv
317,11,-0.0146390378454315,mi6,fast,Tadv
318,12,-0.0111324480136639,mpi,fast,Tadv
