,dR/dT,models,experiment,var
5,0.24552259615259742,hg2,amip,RH
6,0.19869782509023062,hg3,amip,RH
7,0.17247839222005176,ipsl,amip,RH
8,0.25027130806603537,mies2l,amip,RH
9,0.129206077992591,miesm,amip,RH
10,0.3214064415828479,mi5,amip,RH
11,0.35897199419479175,mi6,amip,RH
12,0.18218687977109294,mpi,amip,RH
13,0.2031286069003962,mrcgcm,amip,RH
14,0.12160975245341844,mresm,amip,RH
15,0.3048607246314366,ukesm,amip,RH
0,0.19675166173223207,mean,amip,RH
0,0.011949804884173272,ccsm4,amip,Omega
1,0.011817900308319246,canam4,amip,Omega
2,0.007184869935533248,canesm5,amip,Omega
3,0.004788174318393273,e3sm,amip,Omega
4,0.01083487193136333,gfdl,amip,Omega
5,0.02997734811341265,hg2,amip,Omega
6,0.023487899112176042,hg3,amip,Omega
7,0.012661585505378499,ipsl,amip,Omega
8,6.145591029688752e-05,mies2l,amip,Omega
9,0.007768424333580941,miesm,amip,Omega
10,0.021293794049416535,mi5,amip,Omega
11,0.009130079502841412,mi6,amip,Omega
12,0.013797344938643574,mpi,amip,Omega
13,0.00789340195868453,mrcgcm,amip,Omega
14,0.008113007919731822,mresm,amip,Omega
15,0.0018675281138230322,ukesm,amip,Omega
0,0.011414218177235518,mean,amip,Omega
0,-0.0598950393185006,ccsm4,amip,WS
1,0.009339847721026502,canam4,amip,WS
2,0.029211835226544226,canesm5,amip,WS
3,0.030187758873238244,e3sm,amip,WS
4,-0.009823279943437263,gfdl,amip,WS
5,0.004582542196665271,hg2,amip,WS
6,0.0069316161641453395,hg3,amip,WS
7,0.018121100435134443,ipsl,amip,WS
8,0.03294263939797863,mies2l,amip,WS
9,-0.00579467460508121,miesm,amip,WS
10,-0.003828133961896792,mi5,amip,WS
11,-0.03222116785384843,mi6,amip,WS
12,0.00984989982518297,mpi,amip,WS
13,-0.021982435633470562,mrcgcm,amip,WS
14,0.005559160884984652,mresm,amip,WS
15,-0.007042801561688776,ukesm,amip,WS
0,0.00038367924043604027,mean,amip,WS
0,0.15351104787345704,ccsm4,hist,SST
1,0.18805869142017878,canam4,hist,SST
2,0.19639416948940916,canesm5,hist,SST
3,0.2082885496266615,e3sm,hist,SST
4,0.16709274548479947,gfdl,hist,SST
5,0.20569928508940555,hg2,hist,SST
6,0.210697237680356,hg3,hist,SST
7,0.16572656330256896,ipsl,hist,SST
8,0.22190518157098693,mies2l,hist,SST
9,0.15161551278841767,miesm,hist,SST
10,0.26065046364997424,mi5,hist,SST
11,0.11182024721689239,mi6,hist,SST
12,0.117788793316241,mpi,hist,SST
13,0.09997031078438592,mrcgcm,hist,SST
14,0.14128430198487862,mresm,hist,SST
15,0.2683974111268897,ukesm,hist,SST
0,0.17930628202534393,mean,hist,SST
0,-0.18204856696929828,ccsm4,hist,EIS
1,-0.06866386078800885,canam4,hist,EIS
2,-0.41369188152463693,canesm5,hist,EIS
3,-0.21817828904041395,e3sm,hist,EIS
4,-0.28917801651536706,gfdl,hist,EIS
5,-0.3944186898120259,hg2,hist,EIS
6,-0.13673163466459923,hg3,hist,EIS
7,-0.37730599943823107,ipsl,hist,EIS
8,-0.2188986929031558,mies2l,hist,EIS
9,-0.1444830681021996,miesm,hist,EIS
10,-0.32090096628160586,mi5,hist,EIS
11,-0.215100529005008,mi6,hist,EIS
12,-0.4271519216515381,mpi,hist,EIS
13,-0.32051334429520584,mrcgcm,hist,EIS
14,-0.14198573659962116,mresm,hist,EIS
15,-0.1085878371763773,ukesm,hist,EIS
0,-0.24861493967295578,mean,hist,EIS
0,0.023890014988934203,ccsm4,hist,Tadv
1,-0.040226145957724425,canam4,hist,Tadv
2,-0.026480526197754418,canesm5,hist,Tadv
3,0.008102565566255437,e3sm,hist,Tadv
4,0.025249302009975425,gfdl,hist,Tadv
5,0.013484028232596186,hg2,hist,Tadv
6,-0.007317866957865787,hg3,hist,Tadv
7,-0.01885357240229624,ipsl,hist,Tadv
8,-0.010303922124914489,mies2l,hist,Tadv
9,-0.00873911896095118,miesm,hist,Tadv
10,0.0017014121316431565,mi5,hist,Tadv
11,-0.026918914516838328,mi6,hist,Tadv
12,0.005699915345169879,mpi,hist,Tadv
13,0.016686073478230312,mrcgcm,hist,Tadv
14,0.017018835447841277,mresm,hist,Tadv
15,0.029470319455635757,ukesm,hist,Tadv
0,0.00015389997112104804,mean,hist,Tadv
0,0.09223925378878953,ccsm4,hist,RH
1,0.032705079906433024,canam4,hist,RH
2,0.05622990744596225,canesm5,hist,RH
3,0.10057594169777175,e3sm,hist,RH
4,0.11491260576977294,gfdl,hist,RH
5,0.1621296992754605,hg2,hist,RH
6,0.13856064156727071,hg3,hist,RH
7,0.206518716539296,ipsl,hist,RH
8,0.22162998610463105,mies2l,hist,RH
9,0.1041050930176389,miesm,hist,RH
10,0.1317713725372658,mi5,hist,RH
11,0.21117066276919327,mi6,hist,RH
12,0.19000340162733412,mpi,hist,RH
13,0.11654273000312881,mrcgcm,hist,RH
14,0.021239412959428043,mresm,hist,RH
15,0.2144190411749379,ukesm,hist,RH
0,0.13217209663651966,mean,hist,RH
0,0.00473069466430839,ccsm4,hist,Omega
1,2.040787721447757e-05,canam4,hist,Omega
2,0.006023308908250224,canesm5,hist,Omega
3,0.010005326880347384,e3sm,hist,Omega
4,0.0045775917956188935,gfdl,hist,Omega
5,0.0071484446898614756,hg2,hist,Omega
6,0.005587215410184094,hg3,hist,Omega
7,-0.010255360515840826,ipsl,hist,Omega
8,-0.013013442681837704,mies2l,hist,Omega
9,0.009592267999630887,miesm,hist,Omega
10,-0.009240729503148963,mi5,hist,Omega
11,-0.010217720819703124,mi6,hist,Omega
12,-1.4778440809684294e-07,mpi,hist,Omega
13,0.007922889255374111,mrcgcm,hist,Omega
14,0.0005293711856543805,mresm,hist,Omega
15,-0.0020771866583673177,ukesm,hist,Omega
0,0.0007083081689461428,mean,hist,Omega
0,-0.0008284377722941025,ccsm4,hist,WS
1,-0.002560709718436027,canam4,hist,WS
2,0.005843682555369821,canesm5,hist,WS
3,0.01360980781978289,e3sm,hist,WS
4,-0.002106351100617674,gfdl,hist,WS
5,-0.024481788656951234,hg2,hist,WS
6,0.00917200408400773,hg3,hist,WS
7,0.0032043383987727567,ipsl,hist,WS
8,-0.013583442901799305,mies2l,hist,WS
9,-0.029841276084498266,miesm,hist,WS
10,0.0070325016333700795,mi5,hist,WS
11,0.015387446965876603,mi6,hist,WS
12,-0.03433854150514773,mpi,hist,WS
13,-0.021476970712005036,mrcgcm,hist,WS
14,0.004501810322417016,mresm,hist,WS
15,0.0008191904543464376,ukesm,hist,WS
0,-0.004352921013612877,mean,hist,WS
0,0.26482872211795117,ccsm4,fast,SST
1,0.1350380663927304,canam4,fast,SST
2,0.19569943003430704,canesm5,fast,SST
3,0.3262597503278763,e3sm,fast,SST
4,0.17231377344541154,gfdl,fast,SST
5,0.2143662946097029,hg2,fast,SST
6,0.28260020101170497,hg3,fast,SST
7,0.2016258117184029,ipsl,fast,SST
8,0.16262594463468488,mies2l,fast,SST
9,0.14958229920946509,miesm,fast,SST
10,0.17357514913960428,mi5,fast,SST
11,0.2491223006422171,mi6,fast,SST
12,0.19367051774280675,mpi,fast,SST
13,0.11568189604053575,mrcgcm,fast,SST
14,0.11724548632023866,mresm,fast,SST
15,0.23740329176416874,ukesm,fast,SST
0,0.19947743344698804,mean,fast,SST
0,-0.18039729052050163,ccsm4,fast,EIS
1,-0.019752697649553484,canam4,fast,EIS
2,-0.10851151651755872,canesm5,fast,EIS
3,-0.10212022982152019,e3sm,fast,EIS
4,-0.14902661961725588,gfdl,fast,EIS
5,-0.15801224519192092,hg2,fast,EIS
6,-0.1754917551841616,hg3,fast,EIS
7,-0.08575741346550098,ipsl,fast,EIS
8,-0.16255965183214205,mies2l,fast,EIS
9,-0.1526769665162165,miesm,fast,EIS
10,-0.1321216771152072,mi5,fast,EIS
11,-0.16487294689351487,mi6,fast,EIS
12,-0.2592246046984217,mpi,fast,EIS
13,-0.09077826813240292,mrcgcm,fast,EIS
14,-0.07566318992777404,mresm,fast,EIS
15,-0.15531369210821905,ukesm,fast,EIS
0,-0.13576754782449196,mean,fast,EIS
0,-0.008158794271485375,ccsm4,fast,Tadv
1,-0.018453508326427687,canam4,fast,Tadv
2,-0.01837060406588638,canesm5,fast,Tadv
3,-0.02318897204702498,e3sm,fast,Tadv
4,0.00176658601147696,gfdl,fast,Tadv
5,-0.010192603451594614,hg2,fast,Tadv
6,0.002519601755165168,hg3,fast,Tadv
7,0.0013776739555761272,ipsl,fast,Tadv
8,0.001421695069543848,mies2l,fast,Tadv
9,-0.004429735316783975,miesm,fast,Tadv
10,-0.004120398027327164,mi5,fast,Tadv
11,-0.011736890327087166,mi6,fast,Tadv
12,-0.005917813707585118,mpi,fast,Tadv
13,0.009311845922434968,mrcgcm,fast,Tadv
14,-0.011654814901925103,mresm,fast,Tadv
15,-0.001245223043665319,ukesm,fast,Tadv
0,-0.006316997173287237,mean,fast,Tadv
0,-0.010813908665161662,ccsm4,fast,RH
1,0.01734421696617379,canam4,fast,RH
2,-0.03985597478693109,canesm5,fast,RH
3,0.08744059067398544,e3sm,fast,RH
4,0.006519365857544525,gfdl,fast,RH
5,0.01633117877300629,hg2,fast,RH
6,0.09784944967518494,hg3,fast,RH
7,-0.005565221357378883,ipsl,fast,RH
8,0.0892384051046736,mies2l,fast,RH
9,0.06641974799415201,miesm,fast,RH
10,0.09164073987627301,mi5,fast,RH
11,0.009257785824478091,mi6,fast,RH
12,0.025311786724451255,mpi,fast,RH
13,0.019038400899300475,mrcgcm,fast,RH
14,0.026313475093704054,mresm,fast,RH
15,0.1053417840824612,ukesm,fast,RH
0,0.037613238920994815,mean,fast,RH
0,-0.0032313385937592443,ccsm4,fast,Omega
1,-0.0044413754775517395,canam4,fast,Omega
2,-0.005516255967174507,canesm5,fast,Omega
3,-0.013598695419141986,e3sm,fast,Omega
4,-0.004496405969367461,gfdl,fast,Omega
5,-0.006901004463140541,hg2,fast,Omega
6,-0.009634386750669967,hg3,fast,Omega
7,-0.00499583908543668,ipsl,fast,Omega
8,-0.007182299510204154,mies2l,fast,Omega
9,-0.0051783173035561255,miesm,fast,Omega
10,-0.004760838817952532,mi5,fast,Omega
11,-0.008134434018971796,mi6,fast,Omega
12,-0.005551672856017163,mpi,fast,Omega
13,-0.0017860462806056176,mrcgcm,fast,Omega
14,-0.0022298673267988752,mresm,fast,Omega
15,-0.00536909545908339,ukesm,fast,Omega
0,-0.005812992081214486,mean,fast,Omega
