,Unnamed: 0,dR/dT,models,experiment,var
120,1,0.0083555745331984,canam4,amip,RH
121,2,0.0498564012942987,canesm5,amip,RH
122,3,0.148614442134583,e3sm,amip,RH
123,4,0.0524256346898601,gfdl,amip,RH
124,5,0.1421978391502018,hg2,amip,RH
125,6,0.0916308201775041,hg3,amip,RH
126,7,0.0617175404516112,ipsl,amip,RH
127,8,0.1880732562746466,mies2l,amip,RH
128,9,0.0622181384711897,miesm,amip,RH
129,10,0.1995143039738091,mi5,amip,RH
130,11,0.2617776871367033,mi6,amip,RH
131,12,0.1267045109119664,mpi,amip,RH
132,13,0.1241829734844525,mrcgcm,amip,RH
133,14,0.0527831654176331,mresm,amip,RH
134,15,0.2128176459223071,ukesm,amip,RH
136,0,0.0412734362134838,ccsm4,amip,Omega
137,1,0.0534034508316644,canam4,amip,Omega
138,2,0.0570092873745209,canesm5,amip,Omega
139,3,0.0333239257892422,e3sm,amip,Omega
140,4,0.0440209765303655,gfdl,amip,Omega
141,5,0.0630667778083935,hg2,amip,Omega
142,6,0.051193411945357,hg3,amip,Omega
143,7,0.0673274458548793,ipsl,amip,Omega
144,8,0.0318641326748051,mies2l,amip,Omega
145,9,0.0360383981337018,miesm,amip,Omega
146,10,0.0818750586521298,mi5,amip,Omega
147,11,0.0464436232636328,mi6,amip,Omega
148,12,0.0369227725710194,mpi,amip,Omega
149,13,0.0247358771691733,mrcgcm,amip,Omega
150,14,0.043394211075369,mresm,amip,Omega
151,15,0.0237218418430193,ukesm,amip,Omega
153,0,-0.1833795452456207,ccsm4,amip,WS
154,1,-0.0156169380932356,canam4,amip,WS
155,2,0.004754859061808,canesm5,amip,WS
156,3,0.0542059767681529,e3sm,amip,WS
157,4,0.0086484189345025,gfdl,amip,WS
158,5,-0.0215485963591833,hg2,amip,WS
159,6,-0.0291180331452827,hg3,amip,WS
160,7,-0.0083535762695609,ipsl,amip,WS
161,8,0.0511473266790483,mies2l,amip,WS
162,9,-0.0310640077706483,miesm,amip,WS
163,10,-0.0406404373808843,mi5,amip,WS
164,11,-0.0823108940556999,mi6,amip,WS
165,12,-0.001046602932047,mpi,amip,WS
166,13,-0.0257685675535403,mrcgcm,amip,WS
167,14,0.004146751302025,mresm,amip,WS
168,15,-0.0331690939651224,ukesm,amip,WS
170,0,0.3336891730384724,ccsm4,hist,SST
171,1,0.4027555541711627,canam4,hist,SST
172,2,0.3493568981688703,canesm5,hist,SST
173,3,0.4313000414915688,e3sm,hist,SST
174,4,0.2540339606080617,gfdl,hist,SST
175,5,0.3764294105711841,hg2,hist,SST
176,6,0.4724535531845196,hg3,hist,SST
177,7,0.2976253456086046,ipsl,hist,SST
178,8,0.3476202349810631,mies2l,hist,SST
179,9,0.308458849892652,miesm,hist,SST
180,10,0.4282928910837144,mi5,hist,SST
181,11,0.2181836490235793,mi6,hist,SST
182,12,0.2692466068316592,mpi,hist,SST
183,13,0.1105380957269432,mrcgcm,hist,SST
184,14,0.2867429927183218,mresm,hist,SST
185,15,0.4952387276379826,ukesm,hist,SST
187,0,-0.2654342143088971,ccsm4,hist,EIS
188,1,-0.0842195628669252,canam4,hist,EIS
189,2,-0.5251653968193989,canesm5,hist,EIS
190,3,-0.320895677553123,e3sm,hist,EIS
191,4,-0.382507810249794,gfdl,hist,EIS
192,5,-0.5511911521231657,hg2,hist,EIS
193,6,-0.1757625087347682,hg3,hist,EIS
194,7,-0.5315886614665793,ipsl,hist,EIS
195,8,-0.3027476120108216,mies2l,hist,EIS
196,9,-0.223680121293474,miesm,hist,EIS
197,10,-0.3610569161287483,mi5,hist,EIS
198,11,-0.2597820805609376,mi6,hist,EIS
199,12,-0.565046674505719,mpi,hist,EIS
200,13,-0.420450525155033,mrcgcm,hist,EIS
201,14,-0.1928686245787161,mresm,hist,EIS
202,15,-0.1462191616028549,ukesm,hist,EIS
204,0,0.0001077786685327,ccsm4,hist,Tadv
205,1,-0.0648609529568146,canam4,hist,Tadv
206,2,-0.0589178657917948,canesm5,hist,Tadv
207,3,0.0120544282251722,e3sm,hist,Tadv
208,4,0.0068062243302504,gfdl,hist,Tadv
209,5,0.0154436096045947,hg2,hist,Tadv
210,6,-0.0210195039652658,hg3,hist,Tadv
211,7,-0.0260091799875864,ipsl,hist,Tadv
212,8,-0.0021440413617517,mies2l,hist,Tadv
213,9,-0.0325568854987862,miesm,hist,Tadv
214,10,0.0183558925602184,mi5,hist,Tadv
215,11,-0.0387814590445796,mi6,hist,Tadv
216,12,-0.0309586517186331,mpi,hist,Tadv
217,13,0.0223730614564533,mrcgcm,hist,Tadv
218,14,0.0164298759319177,mresm,hist,Tadv
219,15,0.0237323828495244,ukesm,hist,Tadv
221,0,0.0543588046403307,ccsm4,hist,RH
222,1,0.017528855117057,canam4,hist,RH
223,2,0.0305873267665733,canesm5,hist,RH
224,3,0.0686685029896919,e3sm,hist,RH
225,4,0.0517509962391159,gfdl,hist,RH
226,5,0.123906987353524,hg2,hist,RH
227,6,0.0934799412186782,hg3,hist,RH
228,7,0.121702727471445,ipsl,hist,RH
229,8,0.1857981691643616,mies2l,hist,RH
230,9,0.0583956351215312,miesm,hist,RH
231,10,0.0972244604267453,mi5,hist,RH
232,11,0.1356055834564691,mi6,hist,RH
233,12,0.1035946074645498,mpi,hist,RH
234,13,0.073533632990001,mrcgcm,hist,RH
235,14,0.0139601566334242,mresm,hist,RH
236,15,0.1409982169472677,ukesm,hist,RH
