,Unnamed: 0,dR/dT,models,experiment,var
119,0,0.1006998202454262,ccsm4,amip,RH
120,1,0.0181733508336486,canam4,amip,RH
121,2,0.0520847124294076,canesm5,amip,RH
122,3,0.1227603594324791,e3sm,amip,RH
123,4,0.0568642210569311,gfdl,amip,RH
124,5,0.127019560526631,hg2,amip,RH
125,6,0.0875265093363144,hg3,amip,RH
126,7,0.0764302092038504,ipsl,amip,RH
127,8,0.1636367745967511,mies2l,amip,RH
128,9,0.0230477946598472,miesm,amip,RH
129,10,0.1905314228975303,mi5,amip,RH
130,11,0.235114896071191,mi6,amip,RH
131,12,0.1423450679603655,mpi,amip,RH
132,13,0.1128495677280961,mrcgcm,amip,RH
133,14,0.0717378758311583,mresm,amip,RH
134,15,0.1565881909228711,ukesm,amip,RH
136,0,0.0170250244990135,ccsm4,amip,Omega
137,1,0.0456657902525419,canam4,amip,Omega
138,2,0.0406538116690874,canesm5,amip,Omega
139,3,0.0254598225730291,e3sm,amip,Omega
140,4,0.0392422082402574,gfdl,amip,Omega
141,5,0.045666924009051,hg2,amip,Omega
142,6,0.0519031381792354,hg3,amip,Omega
143,7,0.0387366893387248,ipsl,amip,Omega
144,8,0.0277157395143989,mies2l,amip,Omega
145,9,0.0526294432465916,miesm,amip,Omega
146,10,0.0685294336870065,mi5,amip,Omega
147,11,0.0267227989789017,mi6,amip,Omega
148,12,0.037573876122174,mpi,amip,Omega
149,13,0.0201115052221868,mrcgcm,amip,Omega
150,14,0.0394936497147729,mresm,amip,Omega
151,15,0.0176813108399849,ukesm,amip,Omega
153,0,-0.2140947737111556,ccsm4,amip,WS
154,1,-0.0297280188912421,canam4,amip,WS
155,2,-0.0044071221080284,canesm5,amip,WS
156,3,0.005980184450399,e3sm,amip,WS
157,4,0.0011009285913718,gfdl,amip,WS
158,5,-0.0643549863598405,hg2,amip,WS
159,6,-0.0691039379591887,hg3,amip,WS
160,7,-0.0293676553964977,ipsl,amip,WS
161,8,0.011407559867283,mies2l,amip,WS
162,9,-0.0496002829566686,miesm,amip,WS
163,10,-0.0831618828084124,mi5,amip,WS
164,11,-0.0900802742968563,mi6,amip,WS
165,12,-0.028271312802758,mpi,amip,WS
166,13,-0.039456377636149,mrcgcm,amip,WS
167,14,-0.0274859365714509,mresm,amip,WS
168,15,-0.0555640182314612,ukesm,amip,WS
170,0,0.1973265839709918,ccsm4,hist,SST
171,1,0.2747988407017835,canam4,hist,SST
172,2,0.2792809002599274,canesm5,hist,SST
173,3,0.2414854877136798,e3sm,hist,SST
174,4,0.182627545779166,gfdl,hist,SST
175,5,0.2054534817938189,hg2,hist,SST
176,6,0.2813164560815777,hg3,hist,SST
177,7,0.1179230788480508,ipsl,hist,SST
178,8,0.2166576509726081,mies2l,hist,SST
179,9,0.1820878975829649,miesm,hist,SST
180,10,0.3249454008777961,mi5,hist,SST
181,11,0.088470933117039,mi6,hist,SST
182,12,0.1134920237858275,mpi,hist,SST
183,13,0.0897550214942194,mrcgcm,hist,SST
184,14,0.2173578468091858,mresm,hist,SST
185,15,0.2670683010810484,ukesm,hist,SST
187,0,-0.3612506382352288,ccsm4,hist,EIS
188,1,-0.1749386669376467,canam4,hist,EIS
189,2,-0.6845576915777027,canesm5,hist,EIS
190,3,-0.3426596458383989,e3sm,hist,EIS
191,4,-0.5145512029404586,gfdl,hist,EIS
192,5,-0.6758689005355412,hg2,hist,EIS
193,6,-0.2442854258085749,hg3,hist,EIS
194,7,-0.67348281498376,ipsl,hist,EIS
195,8,-0.3610963443676545,mies2l,hist,EIS
196,9,-0.2835236735015975,miesm,hist,EIS
197,10,-0.4447824071208227,mi5,hist,EIS
198,11,-0.3216907891411605,mi6,hist,EIS
199,12,-0.7097780385510405,mpi,hist,EIS
200,13,-0.501927368050291,mrcgcm,hist,EIS
201,14,-0.2846096855874036,mresm,hist,EIS
202,15,-0.2008568457098019,ukesm,hist,EIS
204,0,0.0398888487474301,ccsm4,hist,Tadv
205,1,-0.074014495790256,canam4,hist,Tadv
206,2,-0.0609168743091199,canesm5,hist,Tadv
207,3,0.0341465521930788,e3sm,hist,Tadv
208,4,0.0219134902925577,gfdl,hist,Tadv
209,5,0.0238552643096911,hg2,hist,Tadv
210,6,-0.0072845267078763,hg3,hist,Tadv
211,7,-0.0417271617074369,ipsl,hist,Tadv
212,8,-0.0027730514227592,mies2l,hist,Tadv
213,9,-0.0162833691387167,miesm,hist,Tadv
214,10,0.0201709449644789,mi5,hist,Tadv
215,11,-0.0261853198797752,mi6,hist,Tadv
216,12,-0.0125426529241026,mpi,hist,Tadv
217,13,0.0405633046164514,mrcgcm,hist,Tadv
